PassengerId,Survived_pred,Prob
1098,1,0.5774061265531855
1099,0,0.14693280451059085
1100,1,0.75
1101,0,0.03549925369570378
1102,0,0.06666666666666667
1103,0,0.01
1104,0,0.15975
1105,1,1.0
1106,1,0.7179047619047619
1107,0,0.0075
1108,1,0.87
1109,1,0.76
1110,1,0.96
1111,0,0.09471878319660691
1112,1,0.83
1113,0,0.09471878319660691
1114,1,1.0
1115,0,0.4229859307359308
1116,1,0.92
1117,1,0.5211666666666667
1118,0,0.4229859307359308
1119,1,0.5774061265531855
1120,0,0.0
1121,0,0.146823007076721
1122,0,0.15975
1123,1,0.94
1124,0,0.0
1125,0,0.016432603894495447
1126,0,0.11
1127,0,0.21631349206349193
1128,1,0.63
1129,0,0.13400072150072145
1130,1,0.8110515873015872
1131,1,1.0
1132,1,0.75
1133,1,0.98
1134,1,0.94
1135,0,0.011432603894495446
1136,0,0.11125
1137,0,0.09733333333333333
1138,1,0.91
1139,0,0.14849999999999997
1140,1,1.0
1141,0,0.0
1142,1,1.0
1143,0,0.43250030525030536
1144,1,0.88
1145,0,0.01244322344322344
1146,0,0.13444655344655337
1147,0,0.0
1148,0,0.13607103495758277
1149,0,0.09471878319660691
1150,1,0.9140208361899533
1151,0,0.12226206554883018
1152,0,0.01
1153,0,0.21631349206349193
1154,1,1.0
1155,1,0.68
1156,0,0.05039316446143809
1157,0,0.03549925369570378
1158,0,0.0
1159,0,0.0
1160,0,0.11
1161,0,0.10041600882777355
1162,1,0.56
1163,0,0.13607103495758277
1164,1,0.81
1165,1,0.9966666666666667
1166,0,0.13400072150072145
1167,1,1.0
1168,0,0.14693280451059085
1169,0,0.43970881895881886
1170,0,0.013999999999999999
1171,0,0.14693280451059085
1172,0,0.04
1173,0,0.06
1174,1,0.5774061265531855
1175,1,0.8225
1176,1,0.98
1177,0,0.0
1178,0,0.0
1179,0,0.07
1180,0,0.21285340313281484
1181,0,0.09471878319660691
1182,0,0.02083333333333333
1183,0,0.4
1184,0,0.21285340313281484
1185,0,0.08
1186,0,0.13444655344655337
1187,0,0.03549925369570378
1188,1,0.99
1189,0,0.14400000000000002
1190,0,0.0
1191,0,0.21631349206349193
1192,0,0.12226206554883018
1193,0,0.01
1194,0,0.0
1195,0,0.10041600882777355
1196,1,0.5774061265531855
1197,1,0.98
1198,1,0.88
1199,0,0.01244322344322344
1200,1,0.96
1201,0,0.01
1202,0,0.10041600882777355
1203,0,0.13400072150072145
1204,0,0.0
1205,1,0.5774061265531855
1206,1,1.0
1207,1,0.9738888888888888
1208,1,0.88
1209,0,0.14693280451059085
1210,0,0.21631349206349193
1211,0,0.49083333333333334
1212,0,0.12226206554883018
1213,0,0.21285340313281484
1214,0,0.146823007076721
1215,0,0.361930534334946
1216,1,1.0
1217,0,0.01
1218,1,0.97
1219,0,0.07
1220,0,0.43970881895881886
1221,0,0.146823007076721
1222,1,0.99
1223,0,0.4010952380952382
1224,0,0.13400072150072145
1225,1,0.9966666666666667
1226,0,0.03549925369570378
1227,0,0.32095238095238093
1228,0,0.146823007076721
1229,0,0.21285340313281484
1230,0,0.09508333333333333
1231,0,0.21285340313281484
1232,0,0.14693280451059085
1233,0,0.0
1234,0,0.29344047619047625
1235,1,1.0
1236,0,0.01
1237,1,0.75
1238,0,0.146823007076721
1239,1,0.99
1240,0,0.014299000232504069
1241,1,0.91
1242,1,1.0
1243,0,0.14693280451059085
1244,0,0.15975
1245,0,0.0125
1246,1,0.98
1247,0,0.32095238095238093
1248,1,1.0
1249,0,0.016432603894495447
1250,0,0.13607103495758277
1251,1,0.9966666666666667
1252,0,0.0075
1253,1,0.99
1254,1,0.91
1255,0,0.10041600882777355
1256,1,1.0
1257,0,0.12
1258,0,0.01
1259,0,0.14
1260,1,1.0
1261,1,0.65
1262,0,0.2725
1263,1,1.0
1264,0,0.0
1265,0,0.146823007076721
1266,1,1.0
1267,1,1.0
1268,0,0.23
1269,0,0.0025
1270,0,0.0
1271,0,0.41883333333333334
1272,0,0.13607103495758277
1273,0,0.016432603894495447
1274,0,0.045
1275,1,0.6520952380952378
1276,0,0.146823007076721
1277,1,1.0
1278,0,0.12226206554883018
1279,0,0.146823007076721
1280,0,0.13607103495758277
1281,0,0.0415
1282,1,0.67
1283,1,0.96
1284,0,0.43707142857142856
1285,0,0.14693280451059085
1286,0,0.04
1287,1,1.0
1288,0,0.0
1289,1,1.0
1290,0,0.12226206554883018
1291,0,0.0024122807017543857
1292,1,1.0
1293,0,0.013999999999999999
1294,1,1.0
1295,0,0.0
1296,0,0.05733333333333334
1297,1,0.65
1298,0,0.35340304140304135
1299,0,0.29
1300,1,0.9738888888888888
1301,0,0.15
1302,1,0.5774061265531855
1303,1,1.0
1304,0,0.3650915750915752
1305,0,0.09471878319660691
1306,1,1.0
1307,0,0.0
1308,0,0.09471878319660691
1309,0,0.20354761904761903
